[16-01-2024 08:27:37] Conectare cu SUCCES la broker-ul tcp://192.168.37.140:1883
[16-01-2024 08:28:04] Conectare cu SUCCES la broker-ul tcp://192.168.37.140:1884
[16-01-2024 08:28:09] Conectare cu SUCCES la broker-ul tcp://192.168.37.140:1883 #############################
[16-01-2024 08:28:09] Abonare la topicul [stergere]
[16-01-2024 08:29:57] Abonare la topicul [test]
[16-01-2024 08:30:38] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:22] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
[16-01-2024 08:32:23] S-a primit o stire cu topicul [test]
